link_id,tick,load_units,load_ratio,status,observed_latency_ms
Aegis-Boreas,63,122.7,0.5899,ok,211459.656
Boreas-Elysium,170,34.2,0.167,ok,107111.234
Caelum-Fenix,13,69.9,0.5501,ok,338329.863
Boreas-Elysium,361,45.2,0.2203,ok,118838.19
Caelum-Fenix,215,3.6,0.0287,ok,110740.49
Aegis-Elysium,234,28.6,0.1415,ok,162258.729
Caelum-Dawn,386,33.5,0.3644,ok,178266.236
Dawn-Fenix,430,48.7,0.3101,ok,98223.523
Dawn-Elysium,307,3.9,0.0559,ok,104215.716
Dawn-Fenix,18,33.5,0.2133,ok,84554.8
Dawn-Elysium,213,21.9,0.3168,ok,146328.182
Boreas-Elysium,492,92.2,0.45,ok,204388.697
Elysium-Fenix,47,80.1,0.5273,ok,457313.209
Aegis-Elysium,290,41.84,0.2494,ok,189585.55
Aegis-Dawn,262,17.4,0.1778,ok,136140.948
Caelum-Elysium,40,17.2,0.2076,ok,146395.613
Dawn-Elysium,49,12.9,0.1866,ok,115857.108
Dawn-Fenix,90,41.9,0.267,ok,91410.564
Dawn-Fenix,423,75.5,0.4808,ok,168095.745
Boreas-Elysium,193,72.3,0.3529,ok,147745.893
Aegis-Dawn,48,38.1,0.389,ok,203224.045
Caelum-Fenix,207,22.8,0.1799,ok,123472.701
Dawn-Fenix,350,43.0,0.274,ok,93454.167
Boreas-Fenix,166,29.8,0.1763,ok,146445.792
Caelum-Dawn,29,44.3,0.4815,ok,261927.61
Boreas-Fenix,389,92.1,0.5448,ok,395231.803
Aegis-Dawn,336,29.9,0.3052,ok,166067.585
Aegis-Dawn,394,36.4,0.3711,ok,197277.756
Dawn-Fenix,159,37.5,0.2386,ok,87265.545
Boreas-Elysium,327,70.1,0.3417,ok,149053.453
Boreas-Fenix,136,40.0,0.2367,ok,165891.623
Dawn-Elysium,179,19.6,0.2846,ok,136641.352
Caelum-Fenix,200,45.0,0.3546,ok,172754.344
Aegis-Boreas,227,38.3,0.184,ok,66987.088
Caelum-Elysium,389,35.5,0.4276,ok,248040.789
Aegis-Elysium,170,82.1,0.4063,ok,284529.109
Aegis-Dawn,106,36.7,0.3749,ok,197040.069
Caelum-Dawn,27,3.0,0.0323,ok,117558.036
Aegis-Boreas,45,31.2,0.1498,ok,65352.646
Aegis-Elysium,392,24.0,0.119,ok,159869.38
Aegis-Elysium,428,79.1,0.3916,ok,272470.378
Boreas-Dawn,296,94.1,0.466,ok,152594.126
