link_id,tick,traffic_share,jammed_flag,planet_a,planet_b,traffic_percentage,traffic_bucket,high_traffic_share,relative_traffic,jammed_int
Aegis-Boreas,0,0.03833,False,Aegis,Boreas,3.83,very_low,0,0.4594,0
Aegis-Dawn,0,0.05373,False,Aegis,Dawn,5.37,low,0,0.644,0
Aegis-Elysium,0,0.06344,True,Aegis,Elysium,6.34,low,0,0.7604,1
Boreas-Dawn,0,0.12564,False,Boreas,Dawn,12.56,medium,0,1.5059,0
Boreas-Elysium,0,0.00766,False,Boreas,Elysium,0.77,very_low,0,0.0918,0
Boreas-Fenix,0,0.01344,False,Boreas,Fenix,1.34,very_low,0,0.1611,0
Caelum-Dawn,0,0.03479,False,Caelum,Dawn,3.48,very_low,0,0.417,0
Caelum-Elysium,0,0.28692,True,Caelum,Elysium,28.69,high,1,3.4389,1
Caelum-Fenix,0,0.02597,False,Caelum,Fenix,2.6,very_low,0,0.3113,0
Dawn-Elysium,0,0.22455,False,Dawn,Elysium,22.46,high,1,2.6914,0
Dawn-Fenix,0,0.02421,False,Dawn,Fenix,2.42,very_low,0,0.2902,0
Elysium-Fenix,0,0.10134,False,Elysium,Fenix,10.13,medium,0,1.2146,0
Aegis-Boreas,1,0.07017,False,Aegis,Boreas,7.02,low,0,0.841,0
Aegis-Dawn,1,0.02802,False,Aegis,Dawn,2.8,very_low,0,0.3358,0
Aegis-Elysium,1,0.17055,False,Aegis,Elysium,17.06,medium,0,2.0442,0
Boreas-Dawn,1,0.08096,False,Boreas,Dawn,8.1,low,0,0.9704,0
Boreas-Elysium,1,0.16753,False,Boreas,Elysium,16.75,medium,0,2.008,0
Boreas-Fenix,1,0.0834330688935281,False,Boreas,Fenix,8.34,low,0,1.0,0
Caelum-Dawn,1,0.06784,False,Caelum,Dawn,6.78,low,0,0.8131,0
Caelum-Elysium,1,0.10978,False,Caelum,Elysium,10.98,medium,0,1.3158,0
Caelum-Fenix,1,0.025,False,Caelum,Fenix,2.5,very_low,0,0.2996,0
Dawn-Elysium,1,0.03164,False,Dawn,Elysium,3.16,very_low,0,0.3792,0
Dawn-Fenix,1,0.07074,False,Dawn,Fenix,7.07,low,0,0.8479,0
Elysium-Fenix,1,0.09633,False,Elysium,Fenix,9.63,low,0,1.1546,0
Aegis-Boreas,2,0.13438,True,Aegis,Boreas,13.44,medium,0,1.6106,1
Aegis-Dawn,2,0.05752,False,Aegis,Dawn,5.75,low,0,0.6894,0
Aegis-Elysium,2,0.32428,False,Aegis,Elysium,32.43,high,1,3.8867,0
Boreas-Dawn,2,0.03428,False,Boreas,Dawn,3.43,very_low,0,0.4109,0
Boreas-Elysium,2,0.01735,False,Boreas,Elysium,1.74,very_low,0,0.208,0
Boreas-Fenix,2,0.02883,False,Boreas,Fenix,2.88,very_low,0,0.3455,0
Caelum-Dawn,2,0.06987,False,Caelum,Dawn,6.99,low,0,0.8374,0
Caelum-Elysium,2,0.0834330688935281,False,Caelum,Elysium,8.34,low,0,1.0,0
Caelum-Fenix,2,0.15241,False,Caelum,Fenix,15.24,medium,0,1.8267,0
Dawn-Elysium,2,0.04993,False,Dawn,Elysium,4.99,very_low,0,0.5984,0
Dawn-Fenix,2,0.01354,False,Dawn,Fenix,1.35,very_low,0,0.1623,0
Elysium-Fenix,2,0.03337,False,Elysium,Fenix,3.34,very_low,0,0.4,0
Aegis-Boreas,3,0.02301,False,Aegis,Boreas,2.3,very_low,0,0.2758,0
Aegis-Dawn,3,0.1014,False,Aegis,Dawn,10.14,medium,0,1.2153,0
Aegis-Elysium,3,0.15665,True,Aegis,Elysium,15.66,medium,0,1.8776,1
Boreas-Dawn,3,0.04004,False,Boreas,Dawn,4.0,very_low,0,0.4799,0
Boreas-Elysium,3,0.05391,False,Boreas,Elysium,5.39,low,0,0.6461,0
Boreas-Fenix,3,0.01678,False,Boreas,Fenix,1.68,very_low,0,0.2011,0
Caelum-Dawn,3,0.11515,False,Caelum,Dawn,11.52,medium,0,1.3801,0
Caelum-Elysium,3,0.11708,False,Caelum,Elysium,11.71,medium,0,1.4033,0
Caelum-Fenix,3,0.05685,False,Caelum,Fenix,5.68,low,0,0.6814,0
Dawn-Elysium,3,0.02786,False,Dawn,Elysium,2.79,very_low,0,0.3339,0
Dawn-Fenix,3,0.17542,False,Dawn,Fenix,17.54,medium,0,2.1025,0
Elysium-Fenix,3,0.11585,False,Elysium,Fenix,11.58,medium,0,1.3885,0
Aegis-Boreas,4,0.06197,False,Aegis,Boreas,6.2,low,0,0.7428,0
Aegis-Dawn,4,0.04166,False,Aegis,Dawn,4.17,very_low,0,0.4993,0
Aegis-Elysium,4,0.06238,False,Aegis,Elysium,6.24,low,0,0.7477,0
Boreas-Dawn,4,0.0585,False,Boreas,Dawn,5.85,low,0,0.7012,0
Boreas-Elysium,4,0.33413,False,Boreas,Elysium,33.41,high,1,4.0048,0
Boreas-Fenix,4,0.00519,False,Boreas,Fenix,0.52,very_low,0,0.0622,0
Caelum-Dawn,4,0.05627,False,Caelum,Dawn,5.63,low,0,0.6744,0
Caelum-Elysium,4,0.06861,False,Caelum,Elysium,6.86,low,0,0.8223,0
Caelum-Fenix,4,0.07387,False,Caelum,Fenix,7.39,low,0,0.8854,0
Dawn-Elysium,4,0.10481,False,Dawn,Elysium,10.48,medium,0,1.2562,0
Dawn-Fenix,4,0.07773,False,Dawn,Fenix,7.77,low,0,0.9316,0
Elysium-Fenix,4,0.0549,False,Elysium,Fenix,5.49,low,0,0.658,0
Aegis-Boreas,5,0.032,False,Aegis,Boreas,3.2,very_low,0,0.3835,0
Aegis-Dawn,5,0.00368,False,Aegis,Dawn,0.37,very_low,0,0.0441,0
Aegis-Elysium,5,0.02045,False,Aegis,Elysium,2.04,very_low,0,0.2451,0
Boreas-Dawn,5,0.0834330688935281,False,Boreas,Dawn,8.34,low,0,1.0,0
Boreas-Elysium,5,0.12379,False,Boreas,Elysium,12.38,medium,0,1.4837,0
Boreas-Fenix,5,0.01597,False,Boreas,Fenix,1.6,very_low,0,0.1914,0
Caelum-Dawn,5,0.15136,False,Caelum,Dawn,15.14,medium,0,1.8141,0
Caelum-Elysium,5,0.20296,False,Caelum,Elysium,20.3,high,1,2.4326,0
Caelum-Fenix,5,0.14663,False,Caelum,Fenix,14.66,medium,0,1.7575,0
Dawn-Elysium,5,0.05012,False,Dawn,Elysium,5.01,low,0,0.6007,0
Dawn-Fenix,5,0.00297,False,Dawn,Fenix,0.3,very_low,0,0.0356,0
Elysium-Fenix,5,0.0834330688935281,False,Elysium,Fenix,8.34,low,0,1.0,0
Aegis-Boreas,6,0.03769,False,Aegis,Boreas,3.77,very_low,0,0.4517,0
Aegis-Dawn,6,0.20549,False,Aegis,Dawn,20.55,high,1,2.4629,0
Aegis-Elysium,6,0.26684,False,Aegis,Elysium,26.68,high,1,3.1983,0
Boreas-Dawn,6,0.15978,False,Boreas,Dawn,15.98,medium,0,1.9151,0
Boreas-Elysium,6,0.01174,False,Boreas,Elysium,1.17,very_low,0,0.1407,0
Boreas-Fenix,6,0.06055,False,Boreas,Fenix,6.06,low,0,0.7257,0
