link_id,tick,traffic_share,jammed_flag,planet_a,planet_b,traffic_percentage,traffic_bucket,high_traffic_share,jammed_int,hist_attack_rate
Boreas-Elysium,32,0.04898,0,Boreas,Elysium,4.9,very_low,0,0,0.08933002481389578
Caelum-Fenix,458,0.13745,0,Caelum,Fenix,13.74,medium,0,0,0.07960199004975124
Dawn-Fenix,492,0.01015,0,Dawn,Fenix,1.01,very_low,0,0,0.07512953367875648
Caelum-Fenix,146,0.10308,0,Caelum,Fenix,10.31,medium,0,0,0.07960199004975124
Caelum-Elysium,130,0.09523,1,Caelum,Elysium,9.52,low,0,1,0.08208955223880597
Caelum-Dawn,215,0.32632,0,Caelum,Dawn,32.63,high,1,0,0.06666666666666667
Boreas-Dawn,369,0.09298,0,Boreas,Dawn,9.3,low,0,0,0.0761904761904762
Aegis-Elysium,246,0.44428,0,Aegis,Elysium,44.43,very_high,1,0,0.06801007556675064
Boreas-Fenix,328,0.19117,0,Boreas,Fenix,19.12,medium,0,0,0.10353535353535354
Caelum-Fenix,216,0.0834330688935281,0,Caelum,Fenix,8.34,low,0,0,0.07960199004975124
Boreas-Dawn,38,0.19795,0,Boreas,Dawn,19.79,medium,0,0,0.0761904761904762
Aegis-Dawn,123,0.03232,0,Aegis,Dawn,3.23,very_low,0,0,0.08607594936708861
Caelum-Dawn,359,0.00981,0,Caelum,Dawn,0.98,very_low,0,0,0.06666666666666667
Aegis-Boreas,55,0.02571,0,Aegis,Boreas,2.57,very_low,0,0,0.115
Boreas-Dawn,411,0.03161,0,Boreas,Dawn,3.16,very_low,0,0,0.0761904761904762
Aegis-Boreas,203,0.34901,0,Aegis,Boreas,34.9,high,1,0,0.115
Dawn-Fenix,225,0.04171,0,Dawn,Fenix,4.17,very_low,0,0,0.07512953367875648
Boreas-Fenix,135,0.0834330688935281,0,Boreas,Fenix,8.34,low,0,0,0.10353535353535354
Aegis-Boreas,153,0.01361,0,Aegis,Boreas,1.36,very_low,0,0,0.115
Aegis-Boreas,283,0.01716,0,Aegis,Boreas,1.72,very_low,0,0,0.115
Boreas-Elysium,108,0.23979,0,Boreas,Elysium,23.98,high,1,0,0.08933002481389578
Caelum-Elysium,382,0.20031,0,Caelum,Elysium,20.03,high,1,0,0.08208955223880597
Dawn-Fenix,380,0.24754,0,Dawn,Fenix,24.75,high,1,0,0.07512953367875648
Aegis-Dawn,183,0.1474,0,Aegis,Dawn,14.74,medium,0,0,0.08607594936708861
Aegis-Boreas,211,0.16931,0,Aegis,Boreas,16.93,medium,0,0,0.115
Elysium-Fenix,255,0.09585,0,Elysium,Fenix,9.59,low,0,0,0.06666666666666667
Aegis-Dawn,210,0.11921,0,Aegis,Dawn,11.92,medium,0,0,0.08607594936708861
Caelum-Elysium,81,0.0781,0,Caelum,Elysium,7.81,low,0,0,0.08208955223880597
Aegis-Boreas,13,0.27711,0,Aegis,Boreas,27.71,high,1,0,0.115
