link_id,tick,self_reported_latency_ms,measured_latency_ms,planet_a,planet_b,latency_difference,absolute_difference,latency_ratio,percentage_error,trust_score,hist_mean_trust,hist_std_trust,hist_mean_latency_diff
Caelum-Elysium,397,183862.399,182816.31,Caelum,Elysium,-1046.0890000000072,1046.0890000000072,0.9943104788924243,0.57,1.0,0.9780398457583547,0.06003094589396874,1753.5802267796134
Elysium-Fenix,128,179505.912,179889.251,Elysium,Fenix,383.3389999999781,383.3389999999781,1.002135522979321,0.21,0.9979,0.9777570719602977,0.055399164086247815,4312.254361379141
Boreas-Dawn,256,121235.96,127423.096,Boreas,Dawn,6187.135999999999,6187.135999999999,1.051033835175636,4.86,0.9537,0.9791679389312977,0.052929740107363066,-992.1216852668913
Boreas-Elysium,346,881302.149,873954.798,Boreas,Elysium,-7347.351000000024,7347.351000000024,0.9916630737728973,0.84,1.0,0.9804581280788177,0.05527648369623914,-1839.5134922540726
Boreas-Fenix,496,73594.614,136726.663,Boreas,Fenix,63132.049,63132.049,1.857835180710371,46.17,0.6841,0.8068014354066986,0.13514659878591953,61601.108196475456
Boreas-Dawn,95,119017.52,119974.646,Boreas,Dawn,957.1259999999893,957.1259999999893,1.0080418916475489,0.8,0.9921,0.9791679389312977,0.052929740107363066,-992.1216852668913
Elysium-Fenix,466,167205.576,168159.459,Elysium,Fenix,953.8830000000016,953.8830000000016,1.0057048516133218,0.57,0.9944,0.9777570719602977,0.055399164086247815,4312.254361379141
Caelum-Dawn,252,113761.65,109138.012,Caelum,Dawn,-4623.637999999992,4623.637999999992,0.9593567955457749,4.24,1.0,0.9804744471744471,0.05446466415035868,-6484.057433327288
Aegis-Dawn,329,111604.342,116523.176,Aegis,Dawn,4918.834000000003,4918.834000000003,1.0440738587034544,4.22,0.9595,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Elysium-Fenix,364,194971.815,195759.021,Elysium,Fenix,787.2060000000056,787.2060000000056,1.0040375374256019,0.4,0.996,0.9777570719602977,0.055399164086247815,4312.254361379141
Boreas-Dawn,358,108486.605,110789.338,Boreas,Dawn,2302.7330000000075,2302.7330000000075,1.0212259660996859,2.08,0.9796,0.9791679389312977,0.052929740107363066,-992.1216852668913
Aegis-Boreas,438,76412.955,73672.495,Aegis,Boreas,-2740.4600000000064,2740.4600000000064,0.9641361860694956,3.72,1.0,0.9849621693121693,0.03408513950102227,-4121.568080328588
Aegis-Dawn,127,136137.71,130396.071,Aegis,Dawn,-5741.638999999996,5741.638999999996,0.9578247716962479,4.4,1.0,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Elysium-Fenix,478,315491.206,170982.991,Elysium,Fenix,-144508.215,144508.215,0.5419580252896178,84.52,1.0,0.9777570719602977,0.055399164086247815,4312.254361379141
Boreas-Fenix,379,350622.605,535534.237,Boreas,Fenix,184911.63199999998,184911.63199999998,1.5273808059237937,34.53,0.7433,0.8068014354066986,0.13514659878591953,61601.108196475456
Aegis-Dawn,425,123206.721,126396.546,Aegis,Dawn,3189.824999999997,3189.824999999997,1.025890024295022,2.52,0.9754,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Caelum-Fenix,121,143905.089,143983.053,Caelum,Fenix,77.96400000000722,77.96400000000722,1.0005417737520041,0.05,0.9995,0.9796862650602409,0.04873557984945812,1731.907948738127
Dawn-Elysium,374,179842.973,187556.425,Dawn,Elysium,7713.45199999999,7713.45199999999,1.0428899270921193,4.11,0.9605,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Elysium-Fenix,236,299248.71,309284.876,Elysium,Fenix,10036.165999999968,10036.165999999968,1.0335378755684526,3.24,0.9686,0.9777570719602977,0.055399164086247815,4312.254361379141
Boreas-Fenix,365,167812.63,287381.31,Boreas,Fenix,119568.68,119568.68,1.7125129973828548,41.61,0.7062,0.8068014354066986,0.13514659878591953,61601.108196475456
Elysium-Fenix,451,165052.852,163723.494,Elysium,Fenix,-1329.3580000000075,1329.3580000000075,0.9919458647100505,0.81,1.0,0.9777570719602977,0.055399164086247815,4312.254361379141
Aegis-Elysium,173,120828.459,243638.901,Aegis,Elysium,122810.44200000001,122810.44200000001,2.016403279628022,50.41,0.6649,0.7958968831168831,0.13151929136319288,77214.95699135585
Caelum-Dawn,360,203499.382,213508.647,Caelum,Dawn,10009.264999999985,10009.264999999985,1.0491857267654994,4.69,0.9552,0.9804744471744471,0.05446466415035868,-6484.057433327288
Caelum-Dawn,197,123951.635,120631.953,Caelum,Dawn,-3319.6820000000007,3319.6820000000007,0.9732179248785222,2.75,1.0,0.9804744471744471,0.05446466415035868,-6484.057433327288
Aegis-Dawn,444,126084.772,125444.436,Aegis,Dawn,-640.3359999999957,640.3359999999957,0.9949213851138186,0.51,1.0,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Dawn-Elysium,269,132029.608,131469.78,Dawn,Elysium,-559.8280000000086,559.8280000000086,0.9957598298708877,0.43,1.0,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Boreas-Elysium,288,147212.009,142746.66,Boreas,Elysium,-4465.348999999987,4465.348999999987,0.9696672232766012,3.13,1.0,0.9804581280788177,0.05527648369623914,-1839.5134922540726
Aegis-Boreas,12,96747.892,93310.275,Aegis,Boreas,-3437.617000000013,3437.617000000013,0.9644683007666978,3.68,1.0,0.9849621693121693,0.03408513950102227,-4121.568080328588
Aegis-Elysium,117,95484.664,170617.143,Aegis,Elysium,75132.479,75132.479,1.7868538868189345,44.04,0.6943,0.7958968831168831,0.13151929136319288,77214.95699135585
Caelum-Fenix,365,155703.191,151577.593,Caelum,Fenix,-4125.597999999998,4125.597999999998,0.9735034460533311,2.72,1.0,0.9796862650602409,0.04873557984945812,1731.907948738127
Caelum-Elysium,155,139353.84,135546.409,Caelum,Elysium,-3807.4309999999823,3807.4309999999823,0.9726779613679826,2.81,1.0,0.9780398457583547,0.06003094589396874,1753.5802267796134
Elysium-Fenix,195,515600.013,505186.441,Elysium,Fenix,-10413.571999999986,10413.571999999986,0.9798030028366195,2.06,1.0,0.9777570719602977,0.055399164086247815,4312.254361379141
Aegis-Dawn,142,323510.066,339732.082,Aegis,Dawn,16222.016000000003,16222.016000000003,1.05014377512445,4.77,0.9544,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Boreas-Fenix,89,197950.173,190357.497,Boreas,Fenix,-7592.676000000007,7592.676000000007,0.9616434990435699,3.99,1.0,0.8068014354066986,0.13514659878591953,61601.108196475456
Dawn-Elysium,207,258966.324,272503.579,Dawn,Elysium,13537.255000000034,13537.255000000034,1.0522741906781672,4.97,0.9527,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Boreas-Fenix,178,1044128.958,1028256.816,Boreas,Fenix,-15872.141999999993,15872.141999999993,0.9847986765634749,1.54,1.0,0.8068014354066986,0.13514659878591953,61601.108196475456
Caelum-Fenix,292,125153.583,122630.247,Caelum,Fenix,-2523.3359999999957,2523.3359999999957,0.9798380842200899,2.06,1.0,0.9796862650602409,0.04873557984945812,1731.907948738127
Dawn-Fenix,79,446904.417,469964.59,Dawn,Fenix,23060.17300000001,23060.17300000001,1.0515997876118552,4.91,0.9532,0.9823136476426799,0.04646098172906777,-362.5543768567232
Dawn-Fenix,487,75952.454,73580.28,Dawn,Fenix,-2372.173999999999,2372.173999999999,0.9687676450849106,3.22,1.0,0.9823136476426799,0.04646098172906777,-362.5543768567232
Boreas-Fenix,422,134852.982,139297.713,Boreas,Fenix,4444.731,4444.731,1.032959827317723,3.19,0.9691,0.8068014354066986,0.13514659878591953,61601.108196475456
Boreas-Fenix,35,211974.128,212571.71,Boreas,Fenix,597.5819999999949,597.5819999999949,1.0028191270587512,0.28,0.9972,0.8068014354066986,0.13514659878591953,61601.108196475456
Dawn-Elysium,265,273781.147,264034.045,Dawn,Elysium,-9747.102000000014,9747.102000000014,0.964398198682395,3.69,1.0,0.9839219696969698,0.04028966443660543,-3087.7173304880284
Boreas-Elysium,264,93460.224,98125.745,Boreas,Elysium,4665.520999999993,4665.520999999993,1.0499198568152373,4.75,0.9546,0.9804581280788177,0.05527648369623914,-1839.5134922540726
Aegis-Dawn,153,137377.536,133637.17,Aegis,Dawn,-3740.36599999998,3740.36599999998,0.9727730886074417,2.8,1.0,0.9844383292383293,0.0367757216063089,-2180.4743005156975
Aegis-Boreas,429,83538.68,84724.854,Aegis,Boreas,1186.1740000000136,1186.1740000000136,1.014199099147844,1.4,0.9862,0.9849621693121693,0.03408513950102227,-4121.568080328588
Caelum-Elysium,250,364825.305,348470.666,Caelum,Elysium,-16354.638999999966,16354.638999999966,0.9551713141170403,4.69,1.0,0.9780398457583547,0.06003094589396874,1753.5802267796134
Caelum-Dawn,315,263471.03,159854.315,Caelum,Dawn,-103616.71500000003,103616.71500000003,0.6067244470862697,64.82,1.0,0.9804744471744471,0.05446466415035868,-6484.057433327288
Boreas-Fenix,17,191526.241,142139.11,Boreas,Fenix,-49387.13100000002,49387.13100000002,0.7421390889199354,34.75,1.0,0.8068014354066986,0.13514659878591953,61601.108196475456
Caelum-Fenix,11,130021.572,124894.461,Caelum,Fenix,-5127.111000000004,5127.111000000004,0.9605672280288997,4.11,1.0,0.9796862650602409,0.04873557984945812,1731.907948738127
Caelum-Dawn,162,126634.308,125773.241,Caelum,Dawn,-861.06700000001,861.06700000001,0.9932003655754963,0.68,1.0,0.9804744471744471,0.05446466415035868,-6484.057433327288
