link_id,tick,load_units,load_ratio,status,observed_latency_ms,planet_a,planet_b,near_capacity,load_bucket,load_ratio_sq,load_units_x_ratio,hist_mean_load_ratio,hist_std_load_ratio,hist_mean_load_units
Aegis-Boreas,63,122.7,0.5899,ok,211459.656,Aegis,Boreas,0,medium,0.34798200999999995,72.38073,0.2911771978021978,0.16781519450328578,59.97527472527472
Boreas-Elysium,170,34.2,0.167,ok,107111.234,Boreas,Elysium,0,very_low,0.027889000000000004,5.711400000000001,0.2900737913486005,0.165054059944648,59.068346055979646
Caelum-Fenix,13,69.9,0.5501,ok,338329.863,Caelum,Fenix,0,medium,0.30261001000000004,38.45199,0.2979977329974811,0.16907325550533112,38.04100755667506
Boreas-Elysium,361,45.2,0.2203,ok,118838.19,Boreas,Elysium,0,low,0.04853209,9.95756,0.2900737913486005,0.165054059944648,59.068346055979646
Caelum-Fenix,215,3.6,0.0287,ok,110740.49,Caelum,Fenix,0,very_low,0.00082369,0.10332,0.2979977329974811,0.16907325550533112,38.04100755667506
Aegis-Elysium,234,28.6,0.1415,ok,162258.729,Aegis,Elysium,0,very_low,0.020022249999999995,4.0469,0.3029021390374331,0.16678734255381286,60.362834224598934
Caelum-Dawn,386,33.5,0.3644,ok,178266.236,Caelum,Dawn,0,low,0.13278736,12.2074,0.30429655172413794,0.17370736738192366,28.526896551724136
Dawn-Fenix,430,48.7,0.3101,ok,98223.523,Dawn,Fenix,0,low,0.09616200999999999,15.10187,0.3041873417721519,0.1724694243240588,47.598683544303796
Dawn-Elysium,307,3.9,0.0559,ok,104215.716,Dawn,Elysium,0,very_low,0.00312481,0.21800999999999998,0.29596,0.16907179960732635,20.87232
Dawn-Fenix,18,33.5,0.2133,ok,84554.8,Dawn,Fenix,0,low,0.04549689,7.14555,0.3041873417721519,0.1724694243240588,47.598683544303796
Dawn-Elysium,213,21.9,0.3168,ok,146328.182,Dawn,Elysium,0,low,0.10036224000000002,6.93792,0.29596,0.16907179960732635,20.87232
Boreas-Elysium,492,92.2,0.45,ok,204388.697,Boreas,Elysium,0,medium,0.2025,41.49,0.2900737913486005,0.165054059944648,59.068346055979646
Elysium-Fenix,47,80.1,0.5273,ok,457313.209,Elysium,Fenix,0,medium,0.27804529,42.236729999999994,0.2866814016172507,0.16585315339481224,43.56679245283019
Aegis-Elysium,290,41.84,0.2494,ok,189585.55,Aegis,Elysium,0,low,0.06220036,10.434896000000002,0.3029021390374331,0.16678734255381286,60.362834224598934
Aegis-Dawn,262,17.4,0.1778,ok,136140.948,Aegis,Dawn,0,very_low,0.03161284,3.09372,0.3143477922077922,0.16558189329464748,31.258909090909093
Caelum-Elysium,40,17.2,0.2076,ok,146395.613,Caelum,Elysium,0,low,0.043097760000000006,3.57072,0.29901641025641024,0.16467290094562215,25.344512820512822
Dawn-Elysium,49,12.9,0.1866,ok,115857.108,Dawn,Elysium,0,very_low,0.03481955999999999,2.40714,0.29596,0.16907179960732635,20.87232
Dawn-Fenix,90,41.9,0.267,ok,91410.564,Dawn,Fenix,0,low,0.071289,11.1873,0.3041873417721519,0.1724694243240588,47.598683544303796
Dawn-Fenix,423,75.5,0.4808,ok,168095.745,Dawn,Fenix,0,medium,0.23116864,36.3004,0.3041873417721519,0.1724694243240588,47.598683544303796
Boreas-Elysium,193,72.3,0.3529,ok,147745.893,Boreas,Elysium,0,low,0.12453840999999999,25.51467,0.2900737913486005,0.165054059944648,59.068346055979646
Aegis-Dawn,48,38.1,0.389,ok,203224.045,Aegis,Dawn,0,low,0.151321,14.820900000000002,0.3143477922077922,0.16558189329464748,31.258909090909093
Caelum-Fenix,207,22.8,0.1799,ok,123472.701,Caelum,Fenix,0,very_low,0.03236401,4.10172,0.2979977329974811,0.16907325550533112,38.04100755667506
Dawn-Fenix,350,43.0,0.274,ok,93454.167,Dawn,Fenix,0,low,0.07507600000000002,11.782,0.3041873417721519,0.1724694243240588,47.598683544303796
Boreas-Fenix,166,29.8,0.1763,ok,146445.792,Boreas,Fenix,0,very_low,0.031081690000000006,5.2537400000000005,0.3080685421994885,0.17007740427160456,51.75457800511509
Caelum-Dawn,29,44.3,0.4815,ok,261927.61,Caelum,Dawn,0,medium,0.23184224999999997,21.33045,0.30429655172413794,0.17370736738192366,28.526896551724136
Boreas-Fenix,389,92.1,0.5448,ok,395231.803,Boreas,Fenix,0,medium,0.29680703999999997,50.17607999999999,0.3080685421994885,0.17007740427160456,51.75457800511509
Aegis-Dawn,336,29.9,0.3052,ok,166067.585,Aegis,Dawn,0,low,0.09314704000000001,9.12548,0.3143477922077922,0.16558189329464748,31.258909090909093
Aegis-Dawn,394,36.4,0.3711,ok,197277.756,Aegis,Dawn,0,low,0.13771520999999998,13.50804,0.3143477922077922,0.16558189329464748,31.258909090909093
Dawn-Fenix,159,37.5,0.2386,ok,87265.545,Dawn,Fenix,0,low,0.05692996,8.9475,0.3041873417721519,0.1724694243240588,47.598683544303796
Boreas-Elysium,327,70.1,0.3417,ok,149053.453,Boreas,Elysium,0,low,0.11675889,23.95317,0.2900737913486005,0.165054059944648,59.068346055979646
Boreas-Fenix,136,40.0,0.2367,ok,165891.623,Boreas,Fenix,0,low,0.056026889999999996,9.468,0.3080685421994885,0.17007740427160456,51.75457800511509
Dawn-Elysium,179,19.6,0.2846,ok,136641.352,Dawn,Elysium,0,low,0.08099716000000001,5.5781600000000005,0.29596,0.16907179960732635,20.87232
Caelum-Fenix,200,45.0,0.3546,ok,172754.344,Caelum,Fenix,0,low,0.12574116000000002,15.957,0.2979977329974811,0.16907325550533112,38.04100755667506
Aegis-Boreas,227,38.3,0.184,ok,66987.088,Aegis,Boreas,0,very_low,0.033856,7.047199999999999,0.2911771978021978,0.16781519450328578,59.97527472527472
Caelum-Elysium,389,35.5,0.4276,ok,248040.789,Caelum,Elysium,0,medium,0.18284176,15.1798,0.29901641025641024,0.16467290094562215,25.344512820512822
Aegis-Elysium,170,82.1,0.4063,ok,284529.109,Aegis,Elysium,0,medium,0.16507969,33.357229999999994,0.3029021390374331,0.16678734255381286,60.362834224598934
Aegis-Dawn,106,36.7,0.3749,ok,197040.069,Aegis,Dawn,0,low,0.14055001,13.758830000000001,0.3143477922077922,0.16558189329464748,31.258909090909093
Caelum-Dawn,27,3.0,0.0323,ok,117558.036,Caelum,Dawn,0,very_low,0.00104329,0.09690000000000001,0.30429655172413794,0.17370736738192366,28.526896551724136
Aegis-Boreas,45,31.2,0.1498,ok,65352.646,Aegis,Boreas,0,very_low,0.022440039999999998,4.67376,0.2911771978021978,0.16781519450328578,59.97527472527472
Aegis-Elysium,392,24.0,0.119,ok,159869.38,Aegis,Elysium,0,very_low,0.014160999999999998,2.856,0.3029021390374331,0.16678734255381286,60.362834224598934
Aegis-Elysium,428,79.1,0.3916,ok,272470.378,Aegis,Elysium,0,low,0.15335056,30.975559999999998,0.3029021390374331,0.16678734255381286,60.362834224598934
Boreas-Dawn,296,94.1,0.466,ok,152594.126,Boreas,Dawn,0,medium,0.21715600000000002,43.8506,0.2929547120418848,0.16733925578385606,58.52005235602094
Dawn-Fenix,251,25.4,0.162,ok,75674.604,Dawn,Fenix,0,very_low,0.026244,4.1148,0.3041873417721519,0.1724694243240588,47.598683544303796
Caelum-Elysium,241,9.8,0.1179,ok,134667.423,Caelum,Elysium,0,very_low,0.013900410000000002,1.1554200000000001,0.29901641025641024,0.16467290094562215,25.344512820512822
